BIOGUIDE_ID,OFFICE,QUARTER,PROGRAM,CATEGORY,DATE,TRANSCODE,RECORDID,PAYEE,START DATE,END DATE,PURPOSE,AMOUNT,YEAR,RECIP (orig.)
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/13/2017,AP,E0478294,FIRST CHOICE COFFEE SERVICES,1/6/2017,1/6/2017,FOOD & BEVERAGE,342.57,2017,FIRST CHOICE COFFEE SERVICES
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/26/2017,AP,E0480373,FIRST CHOICE COFFEE SERVICES,1/13/2017,1/13/2017,FOOD & BEVERAGE,1150.28,2017,FIRST CHOICE COFFEE SERVICES
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1/27/2017,AP,E0480724,COCA-COLA BOTTLING COMPANY CONSOLIDATED,1/13/2017,1/13/2017,FOOD & BEVERAGE,281.75,2017,COCA-COLA BOTTLING COMPANY CONSOLIDATED
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-BUCA DI BEPPO,1/3/2017,1/28/2017,FOOD & BEVERAGE,1776.77,2017,CITI PCARD-BUCA DI BEPPO
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CAPITOL HOST,1/3/2017,1/28/2017,FOOD & BEVERAGE,105,2017,CITI PCARD-CAPITOL HOST
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CHICK-FIL-A,1/3/2017,1/28/2017,FOOD & BEVERAGE,1443.5,2017,CITI PCARD-CHICK-FIL-A
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-CORNER BAKERY,1/3/2017,1/28/2017,FOOD & BEVERAGE,1741.7,2017,CITI PCARD-CORNER BAKERY
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-DT,1/3/2017,1/28/2017,FOOD & BEVERAGE,555.66,2017,CITI PCARD-DT
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-HARRISTEETER,1/3/2017,1/28/2017,FOOD & BEVERAGE,169.71,2017,CITI PCARD-HARRISTEETER
,OFFICE OF THE SPEAKER,2017Q1,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2/17/2017,AP,904174,CITI PCARD-MEDIUM RARE BARRACKS,1/3/2017,1/28/2017,FOOD & BEVERAGE,132.48,2017,CITI PCARD-MEDIUM RARE BARRACKS
